epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.239,0.63562,2.46631,1.08355,0.4884,0.5375,0.65359,0.57774,0.53175,2.74742,0.84716,0.00025005,0.00025005,0.00025005
2,263.602,0.63607,1.40546,1.03927,0.84867,0.59205,0.82836,0.6817,0.59524,2.37215,0.92147,0.000496306,0.000496306,0.000496306
3,429.01,0.65025,1.32975,1.0578,0.65017,0.75339,0.75671,0.6478,0.5982,1.9465,0.98931,0.000721438,0.000721438,0.000721438
4,558.573,0.68041,1.23774,1.0589,0.91043,0.76252,0.92111,0.77849,0.62674,1.50867,0.97137,0.000925445,0.000925445,0.000925445
5,688.78,0.69107,1.16033,1.05576,0.82857,0.79771,0.89271,0.7591,0.62273,1.47678,0.97255,0.00110833,0.00110833,0.00110833
6,818.207,0.67331,1.12205,1.05079,0.70823,0.67045,0.69652,0.60543,0.60611,2.00606,0.97555,0.00127009,0.00127009,0.00127009
7,948.352,0.63348,1.01407,1.02752,0.89543,0.82396,0.88817,0.73653,0.76568,1.5042,1.03981,0.00127092,0.00127092,0.00127092
8,1078.1,0.65908,1.01187,1.04855,0.4153,0.50455,0.3756,0.30991,0.62153,2.66381,0.92655,0.00120491,0.00120491,0.00120491
9,1222.47,0.6574,1.0602,1.04934,0.76617,0.70455,0.72697,0.60586,0.61717,1.7795,0.93813,0.00113889,0.00113889,0.00113889
10,1362.37,0.65375,0.96395,1.03049,0.72246,0.73379,0.72199,0.59253,0.67404,1.63503,0.94668,0.00107288,0.00107288,0.00107288
11,1511.87,0.61992,0.9169,1.01831,0.96461,0.88842,0.95807,0.81772,0.6101,0.92943,0.94226,0.00100687,0.00100687,0.00100687
12,1667.87,0.59924,0.85913,1.00425,0.76603,0.82548,0.85117,0.74865,0.57266,1.25404,0.87103,0.000940855,0.000940855,0.000940855
13,1827,0.61668,0.84373,1.01743,0.92185,0.88952,0.93892,0.82017,0.59107,0.91751,0.87737,0.000874842,0.000874842,0.000874842
14,1985.79,0.58351,0.77346,1.00046,0.94021,0.94486,0.96735,0.85478,0.55235,0.85869,0.87686,0.000808828,0.000808828,0.000808828
15,2142.76,0.56208,0.74575,0.99452,0.95627,0.92841,0.97279,0.85479,0.56476,0.80389,0.87419,0.000742815,0.000742815,0.000742815
16,2275.63,0.53691,0.97047,0.9685,0.85986,0.88295,0.93485,0.80225,0.57016,1.16227,0.89016,0.000676802,0.000676802,0.000676802
17,2402.91,0.51338,0.87523,0.96652,0.80592,0.8146,0.88551,0.77784,0.5303,1.15471,0.85578,0.000610789,0.000610789,0.000610789
18,2527.52,0.47976,0.81155,0.95345,0.94747,0.90539,0.97327,0.85836,0.55518,0.79631,0.87054,0.000544776,0.000544776,0.000544776
19,2650.81,0.49605,0.82796,0.96949,0.93855,0.91047,0.96682,0.83981,0.56005,0.76266,0.85796,0.000478762,0.000478762,0.000478762
20,2773.32,0.45611,0.73075,0.93144,0.95732,0.93932,0.96367,0.8521,0.52608,0.6841,0.85935,0.000412749,0.000412749,0.000412749
21,2896.28,0.45359,0.66536,0.93113,0.96004,0.95142,0.97858,0.85822,0.51908,0.68075,0.86298,0.000346736,0.000346736,0.000346736
22,3020.69,0.4469,0.66573,0.93174,0.97549,0.96269,0.98854,0.87263,0.51105,0.62515,0.84412,0.000280723,0.000280723,0.000280723
23,3144.1,0.41985,0.62501,0.93207,0.96708,0.94959,0.97856,0.86798,0.4904,0.63477,0.82747,0.00021471,0.00021471,0.00021471
24,3266.1,0.41315,0.6091,0.92277,0.94486,0.94861,0.97282,0.86593,0.47728,0.62738,0.81253,0.000148696,0.000148696,0.000148696
25,3391.81,0.40958,0.61171,0.92354,0.95852,0.95114,0.97662,0.87507,0.46587,0.60696,0.80324,8.26832e-05,8.26832e-05,8.26832e-05
