epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,144.444,0.4473,0.43467,0.97165,0.95943,0.91235,0.9843,0.90768,0.39688,0.3672,0.77505,0.000462281,0.000462281,0.000462281
43,147.266,0.42944,0.4273,0.96443,0.97546,0.9406,0.98859,0.93006,0.39148,0.34906,0.76855,0.000438703,0.000438703,0.000438703
44,150.12,0.41846,0.39804,0.95259,0.90484,0.97898,0.98385,0.92008,0.3889,0.35741,0.77359,0.000415124,0.000415124,0.000415124
45,153.108,0.418,0.39964,0.95773,0.92871,0.94065,0.98349,0.92116,0.39214,0.3688,0.77541,0.000391546,0.000391546,0.000391546
46,156.02,0.43077,0.41175,0.96697,0.95236,0.94174,0.97661,0.91829,0.36903,0.32284,0.74648,0.000367967,0.000367967,0.000367967
47,158.837,0.42457,0.39156,0.95395,0.9553,0.94139,0.98256,0.92685,0.36172,0.34007,0.74958,0.000344389,0.000344389,0.000344389
48,161.86,0.41072,0.36701,0.959,0.94557,0.93401,0.9858,0.92408,0.36025,0.3463,0.75071,0.00032081,0.00032081,0.00032081
49,165.05,0.40105,0.367,0.95675,0.91243,0.98348,0.98193,0.90896,0.36935,0.33376,0.74721,0.000297232,0.000297232,0.000297232
50,168.24,0.38066,0.36855,0.93559,0.89839,0.98077,0.98586,0.93038,0.34777,0.33453,0.73798,0.000273654,0.000273654,0.000273654
51,172.389,0.32436,0.35125,0.91865,0.94547,0.93979,0.97595,0.90629,0.36564,0.37069,0.74672,0.000250075,0.000250075,0.000250075
52,176.447,0.32389,0.32402,0.89878,0.91784,0.97484,0.97945,0.9221,0.36791,0.31483,0.74295,0.000226497,0.000226497,0.000226497
53,180.23,0.31348,0.28861,0.88929,0.93282,0.96846,0.98256,0.9242,0.35881,0.30901,0.7415,0.000202918,0.000202918,0.000202918
54,183.138,0.31606,0.30154,0.89939,0.9769,0.95156,0.98604,0.92735,0.34544,0.3057,0.73436,0.00017934,0.00017934,0.00017934
55,185.92,0.29657,0.26568,0.86782,0.95494,0.93556,0.98277,0.92257,0.3444,0.34983,0.73768,0.000155761,0.000155761,0.000155761
56,188.781,0.29918,0.28583,0.89337,0.95176,0.93687,0.98161,0.92768,0.34466,0.33493,0.73112,0.000132183,0.000132183,0.000132183
57,192.546,0.30867,0.27023,0.88738,0.97569,0.94229,0.9771,0.92365,0.34716,0.32824,0.73091,0.000108604,0.000108604,0.000108604
58,195.611,0.30566,0.27213,0.90252,0.96213,0.94001,0.98343,0.92804,0.34922,0.32531,0.73404,8.50255e-05,8.50255e-05,8.50255e-05
59,198.403,0.28658,0.27171,0.89179,0.96979,0.92767,0.98365,0.92728,0.34999,0.34456,0.73511,6.1447e-05,6.1447e-05,6.1447e-05
60,201.188,0.28236,0.2544,0.87806,0.97091,0.92916,0.98347,0.92608,0.34457,0.34019,0.7334,3.78685e-05,3.78685e-05,3.78685e-05
