epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.0051,0.61936,2.97773,1.17014,0.00355,1,0.48838,0.4322,0.60532,3.49733,1.1465,0.00010003,0.00010003,0.00010003
2,164.918,0.55028,2.34748,1.09787,0.00464,1,0.53367,0.47365,0.57663,3.36399,1.08689,0.000198026,0.000198026,0.000198026
3,253.701,0.53085,1.92638,1.09548,0.00383,1,0.53698,0.47516,0.54775,3.50777,1.0225,0.000278611,0.000278611,0.000278611
4,346.477,0.40766,2.25895,1.01233,0.00354,1,0.63049,0.54644,0.66966,3.23146,1.04009,0.000341784,0.000341784,0.000341784
5,433.577,0.42966,2.01874,1.00955,0.9049,0.36867,0.73021,0.51883,1.09593,3.37175,1.36409,0.000387545,0.000387545,0.000387545
6,497.49,0.44705,1.85996,1.0302,0.97414,0.5289,0.86263,0.68842,0.67697,2.95922,1.088,0.000415894,0.000415894,0.000415894
7,557.763,0.43389,1.76551,1.00755,0.90935,0.74476,0.92168,0.81699,0.6736,2.74076,1.02277,0.000426831,0.000426831,0.000426831
8,617.871,0.46216,1.77436,1.04825,0.86341,0.78753,0.90877,0.82645,0.74613,2.44822,1.04421,0.000420357,0.000420357,0.000420357
9,677.875,0.4117,1.58183,1.00432,0.92916,0.89722,0.95956,0.86606,0.8907,2.24641,1.25706,0.000396471,0.000396471,0.000396471
10,738.599,0.41209,1.53085,0.98597,0.91982,0.87735,0.94122,0.8596,0.95573,2.21022,1.50865,0.000355172,0.000355172,0.000355172
11,798.372,0.40338,1.4245,0.98316,0.90885,0.86428,0.91433,0.83374,0.95073,2.02306,1.5286,0.000296463,0.000296463,0.000296463
12,858.437,0.38461,1.35902,0.99284,0.92043,0.8801,0.95249,0.86411,0.88366,1.97953,1.40887,0.000220341,0.000220341,0.000220341
13,917.904,0.37272,1.34825,0.96975,0.92305,0.90394,0.96751,0.87835,0.87676,1.89994,1.36694,0.000123114,0.000123114,0.000123114
