epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.705,0.64519,2.49731,1.12271,0.30945,0.81145,0.50331,0.42981,0.59503,3.10592,0.98659,0.00037154,0.00037154,0.00037154
2,215.737,0.61001,1.5229,1.07605,0.73166,0.68401,0.78048,0.65131,0.66617,2.52272,1.06932,0.000744873,0.000744873,0.000744873
3,321.953,0.68462,1.45536,1.11554,0.73144,0.6611,0.80769,0.66427,0.69544,2.27696,1.06232,0.00110547,0.00110547,0.00110547
4,430.143,0.67554,1.31189,1.1015,0.42914,0.44641,0.43363,0.36218,0.68977,5.69761,1.15009,0.00135826,0.00135826,0.00135826
5,537.059,0.69241,1.29757,1.09053,0.52333,0.69415,0.62934,0.49814,0.85241,2.50199,1.3775,0.00133469,0.00133469,0.00133469
6,643.389,0.66567,1.22455,1.0897,0.80267,0.78968,0.87122,0.72221,0.7556,2.13659,1.20373,0.00131111,0.00131111,0.00131111
7,749.331,0.66381,1.09501,1.06618,0.73376,0.81288,0.86778,0.75952,0.55832,1.87039,0.92182,0.00128753,0.00128753,0.00128753
8,868.457,0.62662,1.02075,1.05519,0.79703,0.80417,0.87381,0.76089,0.58039,1.67895,0.96762,0.00126395,0.00126395,0.00126395
9,958.742,0.62068,0.93713,1.03672,0.74987,0.759,0.81506,0.71856,0.57418,1.60525,0.94678,0.00124037,0.00124037,0.00124037
10,1009.11,0.59638,0.94455,1.04354,0.70232,0.75481,0.76431,0.63611,0.62098,1.50288,0.96143,0.00121679,0.00121679,0.00121679
11,1113.01,0.62199,0.984,1.0536,0.71602,0.83344,0.83124,0.71061,0.59537,1.33817,0.96399,0.00119322,0.00119322,0.00119322
12,1219.52,0.61902,0.93093,1.05603,0.84111,0.95174,0.96658,0.88173,0.4854,0.87279,0.83807,0.00116964,0.00116964,0.00116964
13,1325.41,0.58717,0.757,1.01576,0.82371,0.89104,0.95899,0.88147,0.43954,0.9694,0.82007,0.00114606,0.00114606,0.00114606
14,1440.15,0.62024,0.80327,1.05624,0.90619,0.8595,0.93499,0.83678,0.53548,0.88456,0.88225,0.00112248,0.00112248,0.00112248
15,1549.24,0.59684,0.79341,1.04737,0.81018,0.92484,0.9589,0.86677,0.47388,0.8506,0.82158,0.0010989,0.0010989,0.0010989
16,1655.52,0.55773,0.74728,1.0275,0.86334,0.86882,0.92139,0.83452,0.49252,0.86649,0.85598,0.00107532,0.00107532,0.00107532
17,1761.43,0.52663,0.74873,1.00182,0.75039,0.83928,0.92774,0.8208,0.52842,1.17901,0.8635,0.00105174,0.00105174,0.00105174
18,1866.57,0.57687,0.72785,1.0232,0.70897,0.73681,0.72572,0.63974,0.55063,1.70215,0.90827,0.00102817,0.00102817,0.00102817
19,1916.79,0.54688,0.69743,1.0189,0.88733,0.94164,0.95912,0.87125,0.45346,0.66316,0.84128,0.00100459,0.00100459,0.00100459
20,2011.71,0.53128,0.6516,1.00742,0.86162,0.9358,0.96017,0.85652,0.49842,0.62695,0.8855,0.000981008,0.000981008,0.000981008
21,2117.78,0.56304,0.64866,1.00955,0.85405,0.94768,0.95336,0.87083,0.46263,0.6263,0.84725,0.00095743,0.00095743,0.00095743
22,2224.64,0.53885,0.66297,1.01687,0.90629,0.87205,0.95411,0.83497,0.52414,0.75894,0.92495,0.000933851,0.000933851,0.000933851
23,2332.31,0.51332,0.61217,1.00365,0.92895,0.86465,0.9654,0.88596,0.44969,0.69735,0.83203,0.000910273,0.000910273,0.000910273
24,2441.05,0.53005,0.57777,1.00991,0.86979,0.90934,0.93625,0.85633,0.46538,0.66521,0.83956,0.000886694,0.000886694,0.000886694
25,2548.2,0.50284,0.53672,0.98789,0.91688,0.9331,0.97795,0.91118,0.45408,0.58162,0.83003,0.000863116,0.000863116,0.000863116
26,2662.5,0.51215,0.54882,1.00387,0.88668,0.95885,0.95456,0.87824,0.43902,0.55804,0.80707,0.000839537,0.000839537,0.000839537
27,2768.29,0.52342,0.54709,0.99801,0.90787,0.9662,0.97165,0.8885,0.4571,0.48104,0.8212,0.000815959,0.000815959,0.000815959
28,2869.15,0.49078,0.53712,0.98021,0.928,0.9062,0.97149,0.90473,0.41368,0.51811,0.79025,0.00079238,0.00079238,0.00079238
29,2976.87,0.47746,0.53075,0.9816,0.91231,0.93035,0.96767,0.88728,0.42932,0.5119,0.79631,0.000768802,0.000768802,0.000768802
30,3090.62,0.50306,0.55333,1.00077,0.94557,0.90185,0.97143,0.90796,0.41207,0.50964,0.78825,0.000745223,0.000745223,0.000745223
31,3196.9,0.47835,0.54216,0.97422,0.91688,0.88504,0.9725,0.8944,0.42132,0.54617,0.801,0.000721645,0.000721645,0.000721645
32,3302.61,0.46613,0.49949,0.97517,0.94154,0.90784,0.96991,0.90375,0.36634,0.49908,0.75744,0.000698066,0.000698066,0.000698066
33,3417.24,0.47511,0.47397,0.98175,0.93527,0.90843,0.96964,0.8984,0.40795,0.49626,0.78047,0.000674488,0.000674488,0.000674488
34,3525.2,0.46289,0.44103,0.9736,0.90347,0.97167,0.97947,0.91456,0.379,0.47268,0.76224,0.000650909,0.000650909,0.000650909
35,3623.14,0.4682,0.47994,0.98297,0.94337,0.96047,0.98419,0.91505,0.40911,0.45462,0.78168,0.000627331,0.000627331,0.000627331
36,3673.39,0.47124,0.47622,0.98577,0.91137,0.93535,0.9793,0.91304,0.42681,0.4869,0.80527,0.000603752,0.000603752,0.000603752
37,3723.74,0.45918,0.49172,0.97959,0.92341,0.97499,0.97858,0.90693,0.39715,0.46234,0.77239,0.000580174,0.000580174,0.000580174
38,3776.37,0.44941,0.4291,0.95772,0.96023,0.91998,0.97656,0.90809,0.40572,0.43369,0.77683,0.000556595,0.000556595,0.000556595
39,3878.11,0.46812,0.446,0.97576,0.942,0.92012,0.98002,0.92207,0.3761,0.45392,0.7636,0.000533017,0.000533017,0.000533017
40,3965.34,0.45328,0.41634,0.96068,0.92903,0.95651,0.98026,0.92076,0.37464,0.43966,0.75569,0.000509438,0.000509438,0.000509438
41,4028.09,0.42673,0.42168,0.95654,0.94283,0.88805,0.97598,0.9182,0.37393,0.47245,0.74985,0.00048586,0.00048586,0.00048586
42,4134.43,0.46287,0.4392,0.98276,0.90402,0.94823,0.97898,0.91015,0.41324,0.51733,0.80264,0.000462281,0.000462281,0.000462281
