epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4240.71,0.41893,0.4236,0.96101,0.9031,0.96939,0.97958,0.91918,0.37102,0.45965,0.74982,0.000438703,0.000438703,0.000438703
44,4346.81,0.42822,0.38839,0.95648,0.9345,0.8983,0.97981,0.91444,0.37794,0.49299,0.7471,0.000415124,0.000415124,0.000415124
45,4453.73,0.44384,0.42522,0.95786,0.93288,0.93009,0.97773,0.92534,0.35569,0.48959,0.73881,0.000391546,0.000391546,0.000391546
46,4559.41,0.38053,0.39915,0.94949,0.94125,0.98117,0.98969,0.93336,0.35337,0.34422,0.74394,0.000367967,0.000367967,0.000367967
47,4669.92,0.41968,0.39032,0.95574,0.95448,0.97903,0.98552,0.93276,0.35761,0.33439,0.74573,0.000344389,0.000344389,0.000344389
48,4779.67,0.40856,0.38498,0.94578,0.88534,0.99407,0.97998,0.92001,0.36284,0.38834,0.74497,0.00032081,0.00032081,0.00032081
49,4885.41,0.41277,0.38439,0.9521,0.91572,0.93713,0.98011,0.91818,0.36898,0.44863,0.75642,0.000297232,0.000297232,0.000297232
50,4994.54,0.399,0.3654,0.94222,0.93124,0.94545,0.98381,0.9183,0.38047,0.39714,0.75544,0.000273654,0.000273654,0.000273654
51,5103.66,0.34421,0.36011,0.90828,0.92858,0.96076,0.97947,0.92131,0.37036,0.38494,0.74331,0.000250075,0.000250075,0.000250075
52,5207.5,0.34169,0.33662,0.90187,0.90999,0.97515,0.98601,0.93025,0.34263,0.37486,0.72834,0.000226497,0.000226497,0.000226497
53,5315.48,0.32236,0.31058,0.89856,0.92689,0.94105,0.97913,0.91851,0.35271,0.41372,0.75334,0.000202918,0.000202918,0.000202918
54,5420.23,0.30825,0.29156,0.8928,0.9326,0.93786,0.98049,0.91301,0.37147,0.38411,0.7492,0.00017934,0.00017934,0.00017934
55,5508.12,0.30756,0.28863,0.89955,0.97879,0.95094,0.98726,0.9191,0.36705,0.36874,0.74725,0.000155761,0.000155761,0.000155761
56,5584.67,0.30961,0.27497,0.90097,0.96292,0.9401,0.98748,0.92621,0.35794,0.38549,0.73594,0.000132183,0.000132183,0.000132183
57,5634.1,0.30477,0.26837,0.889,0.95124,0.9469,0.98584,0.92562,0.34033,0.37118,0.72632,0.000108604,0.000108604,0.000108604
58,5683.64,0.28767,0.25271,0.87578,0.95255,0.93988,0.98529,0.93309,0.33491,0.34628,0.72606,8.50255e-05,8.50255e-05,8.50255e-05
59,5732.99,0.31106,0.26879,0.89428,0.95609,0.93526,0.98406,0.93321,0.3355,0.34582,0.72549,6.1447e-05,6.1447e-05,6.1447e-05
60,5782.45,0.29184,0.25975,0.88023,0.92248,0.96708,0.98324,0.93071,0.33386,0.34332,0.72262,3.78685e-05,3.78685e-05,3.78685e-05
